Description,Campaign,Ad Group,Headline 1,Final Url,Headline 2
SEM Sofas,cheap sofas,cheap sofas for Sale,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=cheap&model=sofas
SEM Sofas,cheap sofas,Second Hand cheap sofas,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=cheap&model=sofas
SEM Sofas,affordable sofas,affordable sofas for Sale,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=affordable&model=sofas
SEM Sofas,affordable sofas,Second Hand affordable sofas,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=affordable&model=sofas
SEM Sofas,lowprice sofas,lowprice sofas for Sale,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=lowprice&model=sofas
SEM Sofas,lowprice sofas,Second Hand lowprice sofas,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=lowprice&model=sofas
SEM Sofas,convertible sofas,convertible sofas for Sale,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=convertible&model=sofas
SEM Sofas,convertible sofas,Second Hand convertible sofas,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=convertible&model=sofas
SEM Sofas,cushion sofas,cushion sofas for Sale,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=cushion&model=sofas
SEM Sofas,cushion sofas,Second Hand cushion sofas,Great Prices and Options,30-day Returns With Free Delivery ,http://example.com/?make=cushion&model=sofas
